MDL16CS001 	10 	7 	8 	8.5 	7 	7 	10 	9 	10
MDL16CS002 	10 	8 	8 	9 	8 	8 	10 	10 	10
MDL16CS003 	8 	6	7 	7 	7 	0 	8 	9 	9
MDL16CS004 	8 	0 	8.5 	9 	8 	0 	9 	9 	10
MDL16CS005 	7 	0 	7 	7 	6	0 	9 	9 	9
MDL16CS006 	9 	7 	8.5 	8.5 	8 	8 	9 	8 	10
MDL16CS007 	10 	8.5 	10 	10 	8.5 	8 	9 	10 	10
MDL16CS008 	8.5 	6	0 	7 	0 	6	8.5 	8 	7
MDL16CS009 	10 	7 	8 	9 	9 	7 	7 	10 	8.5
MDL16CS010 	10 	7 	6	8.5 	7 	7 	8 	9 	8
MDL16CS011 	7 	5 	8 	8.5 	7 	0 	8 	10 	9
MDL16CS012 	10 	8 	8.5 	8 	8 	8 	10 	10 	7
MDL16CS013 	10 	9 	8 	8 	8 	9 	10 	9 	10
MDL16CS014 	0 	0 	0 	0 	7 	0 	8 	9 	C
MDL16CS015 	10 	8.5 	8 	10 	8.5 	6	10 	9 	10
MDL16CS016 	9 	8 	0 	10 	8.5 	8 	10 	9 	9
MDL16CS017 	8.5 	7 	10 	8.5 	8 	8.5 	10 	9 	10
MDL16CS018 	8 	6	0 	8.5 	8 	7 	9 	10 	10
MDL16CS019 	8.5 	7 	7 	8 	8.5 	7 	9 	9 	10
MDL16CS020 	8 	8.5 	9 	10 	8 	6	10 	9 	9
MDL16CS021 	10 	8 	7 	10 	8.5 	8 	10 	10 	10
MDL16CS022 	8 	8 	8 	8 	7 	6	9 	7 	10
MDL16CS023 	10 	9 	8 	10 	8.5 	10 	10 	10 	9
MDL16CS024 	7 	6	0 	8 	8 	0 	9 	8.5 	8.5
MDL16CS025 	9 	8 	10 	7 	8 	8 	10 	9 	8.5
MDL16CS026 	9 	7 	8 	6	8 	7 	10 	10 	10
MDL16CS027 	10 	9 	9 	8.5 	7 	8 	10 	9 	10
MDL16CS028 	10 	8 	9 	7 	8 	8 	10 	10 	8.5
MDL16CS029 	10 	8.5 	6	8.5 	8 	8 	8.5 	9 	8.5
MDL16CS030 	8 	8 	8 	8.5 	6	8 	8.5 	9 	8
MDL16CS031 	9 	8 	8 	8 	7 	6	9 	8 	9
MDL16CS032 	9 	9 	10 	10 	8 	8 	10 	8 	10
MDL16CS033 	6	0 	0 	0 	7 	0 	8.5 	9 	C
MDL16CS034 	10 	8.5 	10 	10 	9 	8.5 	10 	9 	10
MDL16CS035 	9 	8 	8 	8.5 	8.5 	6	9 	9 	8
MDL16CS036 	8.5 	6	10 	9 	8 	8 	10 	10 	9
MDL16CS037 	10 	10 	8 	10 	9 	8 	10 	10 	8
MDL16CS038 	8.5 	8 	7 	9 	9 	8.5 	10 	9 	10
MDL16CS039 	10 	7 	10 	9 	8.5 	7 	9 	10 	10
MDL16CS040 	8.5 	6	9 	8.5 	8 	7 	10 	10 	10
MDL16CS041 	10 	6	8 	8 	8 	6	8.5 	8 	10
MDL16CS042 	10 	8.5 	8.5 	9 	9 	9 	10 	10 	8.5
MDL16CS043 	10 	7 	10 	9 	8 	8.5 	10 	10 	9
MDL16CS044 	10 	8.5 	9 	10 	8 	10 	10 	10 	10
MDL16CS045 	10 	7 	8 	9 	8.5 	7 	8 	10 	9
MDL16CS046 	9 	8.5 	10 	8.5 	8.5 	9 	10 	10 	8.5
MDL16CS047 	10 	8 	8 	9 	7 	9 	10 	10 	9
MDL16CS048 	9 	7 	10 	8.5 	8 	8 	10 	9 	10
MDL16CS049 	0 	0 	8.5 	0 	7 	0 	7 	7 	8.5
MDL16CS050 	10 	9 	10 	10 	8 	10 	10 	10 	10
MDL16CS051 	7 	7 	8 	7 	6	6	8.5 	9 	7
MDL16CS052 	10 	8 	9 	10 	8 	8 	10 	10 	8
MDL16CS053 	8 	7 	0 	8.5 	7 	6	8 	8 	8
MDL16CS054 	8 	7 	8.5 	8.5 	8 	8 	9 	8.5 	10
MDL16CS055 	10 	8.5 	10 	10 	8.5 	9 	9 	9 	8.5
MDL16CS056 	10 	8.5 	8 	10 	8 	9 	10 	10 	10
MDL16CS057 	8 	6	8 	9 	7 	0 	9 	10 	10
MDL16CS058 	9 	8 	8.5 	10 	8.5 	10 	10 	10 	10
MDL16CS059 	10 	9 	10 	10 	9 	10 	10 	10 	8.5
MDL16CS060 	8 	7 	8.5 	9 	6	8 	10 	9 	10
MDL16CS061 	8 	6	8 	6	7 	7 	10 	9 	9
MDL16CS062 	10 	8 	9 	10 	9 	8.5 	10 	8.5 	8.5
MDL16CS063 	9 	8 	8.5 	9 	8 	7 	10 	10 	10
MDL16CS064 	8 	8 	7 	9 	10 	8 	9 	8.5 	7
MDL16CS065 	10 	7 	9 	9 	8 	8 	10 	10 	8
MDL16CS066 	10 	8.5 	8.5 	9 	8 	8 	10 	8.5 	7
MDL16CS067 	9 	8 	7 	8.5 	8 	6	10 	10 	10
MDL16CS068 	10 	7 	0 	8.5 	7 	6	8.5 	10 	9
MDL16CS069 	10 	8 	8 	9 	9 	8.5 	9 	9 	10
MDL16CS070 	10 	8 	10 	10 	8 	8 	8 	10 	8.5
MDL16CS071 	10 	9 	9 	10 	9 	9 	10 	10 	10
MDL16CS072 	9 	9 	8.5 	8 	8.5 	8 	10 	9 	9
MDL16CS073 	9 	9 	9 	10 	10 	9 	10 	10 	10
MDL16CS074 	10 	8.5 	8 	10 	9 	8.5 	10 	10 	8.5
MDL16CS075 	8 	7 	0 	8.5 	8.5 	6	10 	9 	10
MDL16CS076 	8 	8 	8 	9 	10 	8.5 	10 	10 	7
MDL16CS077 	8.5 	8 	9 	10 	8 	7 	10 	9 	9
MDL16CS078 	10 	10 	10 	10 	8 	8.5 	10 	10 	10
MDL16CS079 	10 	10 	10 	10 	8 	8 	10 	10 	10
MDL16CS080 	9 	7 	6	7 	8 	6	10 	8 	7
MDL16CS081 	9 	9 	8.5 	10 	9 	9 	10 	9 	8
MDL16CS082 	8.5 	8 	9 	10 	7 	7 	10 	10 	10
MDL16CS083 	9 	8 	10 	10 	8.5 	8 	10 	8.5 	10
MDL16CS084 	8 	7 	7 	9 	8 	6	9 	10 	8
MDL16CS085 	7 	6	0 	8 	6	5 	8.5 	9 	8.5
MDL16CS086 	9 	9 	10 	10 	8 	8 	10 	10 	10
MDL16CS087 	10 	10 	10 	10 	8 	8.5 	10 	10 	8.5
MDL16CS088 	10 	8.5 	10 	10 	9 	9 	10 	10 	10
MDL16CS089 	9 	9 	8 	9 	8 	9 	10 	10 	8.5
MDL16CS090 	8 	8 	9 	9 	7 	7 	10 	9 	10
MDL16CS091 	10 	8.5 	8.5 	10 	8 	8.5 	10 	9 	10
MDL16CS092 	10 	8 	10 	10 	9 	7 	9 	10 	8.5
MDL16CS093 	10 	10 	10 	10 	8 	8.5 	10 	10 	10
MDL16CS094 	8.5 	8.5 	0 	8.5 	6	6	10 	10 	10
MDL16CS095 	10 	9 	9 	10 	8.5 	10 	10 	10 	10
MDL16CS096 	10 	8 	10 	8.5 	8 	8 	10 	10 	8
MDL16CS097 	10 	8 	0 	7 	8 	8 	10 	9 	7
MDL16CS098 	7 	5 	0 	0 	6	0 	8.5 	8 	7
MDL16CS099 	10 	10 	10 	8 	8 	9 	10 	10 	10
MDL16CS100 	10 	8 	9 	8 	9 	8 	10 	10 	8.5
MDL16CS101 	10 	8 	9 	6	8.5 	9 	10 	10 	10
MDL16CS102 	8 	8 	7 	8.5 	8 	7 	9 	10 	8
MDL16CS103 	9 	8.5 	9 	6	8 	9 	10 	9 	10
MDL16CS104 	9 	6	8 	0 	8 	0 	10 	8.5 	10
MDL16CS105 	9 	8 	9 	7 	8 	8 	9 	10 	10
MDL16CS106 	10 	8 	8 	9 	9 	9 	10 	10 	8
MDL16CS107 	10 	8.5 	9 	7 	8.5 	8 	10 	10 	10
MDL16CS108 	10 	8.5 	9 	7 	9 	8 	9 	9 	9
MDL16CS109 	10 	10 	9 	10 	8.5 	10 	10 	10 	9
MDL16CS110 	10 	10 	8.5 	10 	9 	10 	10 	10 	8.5
MDL16CS111 	9 	8 	10 	8 	8.5 	8 	10 	10 	9
MDL16CS112 	10 	8 	10 	6	8.5 	8.5 	10 	8.5 	8
MDL16CS113 	9 	7 	8.5 	8 	7 	8 	10 	10 	8
MDL16CS114 	9 	8 	8 	0 	8 	7 	9 	10 	7
MDL16CS115 	8.5 	8.5 	9 	7 	8 	8 	9 	8.5 	10
MDL16CS116 	7 	6	9 	6	7 	7 	9 	10 	9
MDL16CS117 	10 	8 	9 	7 	8.5 	8 	10 	10 	8
MDL16CS118 	9 	8 	0 	8 	8.5 	8 	10 	8 	8
MDL16CS119 	10 	8 	9 	7 	8 	7 	10 	9 	9
MDL16CS120 	8 	0 	7 	6	7 	6	9 	8 	9
MDL16CS121 	0 	0 	9 	0 	0 	0 	10 	8.5 	10
MDL16CS122 	9 	8 	10 	7 	8 	8.5 	9 	9 	8.5
MDL16CS123 	10 	10 	8.5 	8 	8.5 	10 	10 	10 	10
